filename,accuracy,sensitivity,specificity,precision,F1_score,Jaccard_similarity,Dice_coefficient
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju2t3ibkuecr0835o7si16zv.jpg',)",0.9834526909722222,0.9999999996263079,0.9828294769889261,0.6868583160454677,0.8143634853334043,0.6868583160454677,0.814363968226664
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju83u9ftk3ni0987qnhlcinv.jpg',)",0.9743360209668803,0.967187094885246,0.9803203769031983,0.8159425900452398,0.8770166610591374,0.7865320765822974,0.8770171525129073
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju5gucasds9d0801019axylx.jpg',)",0.9781142884170227,0.9781247297011268,0.981965502507243,0.7648576888744439,0.8503870885215958,0.7452506798991491,0.8503875760351822
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju8cdeazsm8h0801jxifmzur.jpg',)",0.9797029413728632,0.9819650121235777,0.9822891799058227,0.7957273694798017,0.872283554080418,0.7797360324920457,0.8722840443428576
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju6x4t13vyw60755gtcf9ndu.jpg',)",0.9581899789663462,0.924079506674877,0.9713607201753367,0.7860549271926776,0.8416082384659695,0.7360223238005338,0.8416087305351507
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju16fpvhzypl0799p9phnlx6.jpg',)",0.9589608999399039,0.9353183580118896,0.9690151274344077,0.7912540460862593,0.8506712081122738,0.7486139590735387,0.8506717007375468
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju2wx0gh7fpz0878wwyd9ep8.jpg',)",0.9612849308894231,0.9438924724240394,0.969744125420608,0.7753578104732092,0.8445720911074704,0.7385007080049055,0.8445725822720977
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju6vqarjv7yo0987q4b1btk1.jpg',)",0.9500720684344952,0.8259059133710345,0.9735261097409723,0.678438084164058,0.7390005797190367,0.6461881195042923,0.7390010094880856
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju5y84q3mdv50817eyp82xf3.jpg',)",0.9546534872462608,0.8391442645508155,0.9757909661777053,0.7027587875253416,0.7591748559706141,0.6691482161062089,0.759175293523338
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju8cattbsivm0818p446wgel.jpg',)",0.8910071739783655,0.7552298380957339,0.9782118695540326,0.6324829087728074,0.6832573703735527,0.602233394495588,0.6832577641710043
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju84jdl9kv0i0871eog9b3i9.jpg',)",0.8936835015570369,0.7627961442040604,0.9748382320300369,0.6460721211807458,0.6947091000422149,0.6092650041155955,0.694709503441318
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju8418jhkf7d0818ga2v0xq0.jpg',)",0.8470700777493992,0.699229798853722,0.9769350460228527,0.592232777749017,0.6368166750386969,0.5584929204392959,0.6368170448212082
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju1d50a94qf50855wsowacrc.jpg',)",0.8582098424787354,0.7213780633055755,0.9781060089029663,0.6142186240926863,0.659323951275209,0.5823113010106478,0.6593243309545012
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cju8bqxxurs6i0850mu7mtef9.jpg',)",0.8614071066001523,0.7008490769647597,0.9793432990080693,0.6381508885429098,0.6547750336260092,0.571013050199007,0.6547754169463536
"('../data/kvasir-dataset/kvasir-seg/Kvasir-SEG/images/cjyzkmjy8evns070165gf9dmq.jpg',)",0.8692574726705588,0.7127439692224535,0.9800711791890433,0.6562311545946898,0.6707273778084681,0.5868400140741917,0.6707277689017078
